mb_sn,Q1,Q2,Q3,Q4,Q5,Q5_1,Q6,Q7,Q8,Q9_1,Q9_2,Q10,Q11_1,Q11_2,Q12,Q12_1,Q12_1_ETC,Q12_2,Q12_2_ETC,Q13,Q13_ETC
w281984685025694,1,,1,3,4,19,8,8,",2,,4,5,,,,9,,,,,,15,,,18,,,,22,,,,,,",2,갤럭시24,1,1,포르테,"1,,,,","1,2,3,,5,6,,8,9,10,,12,13,,15,16,17,18,19,20,,,,,25,,,,,",,",,,,",,"1,2,,,5,,,8,,",
w378174657596650,1,,4,3,1,예술,5,11,"1,2,3,4,5,,7,,9,,11,,,,15,,17,18,,,,22,,,25,26,,",2,s25 +,1,1,포르테,"1,2,3,4,","1,2,,4,,,7,,,,,,,,15,,17,,,20,,,,,,,,,29,",,"1,2,3,,",,"1,2,3,4,5,6,7,8,,",
w462589912368711,1,,1,2,7,12,5,5,"1,2,3,4,5,6,7,8,9,,11,12,13,14,15,,17,18,,20,,22,23,24,25,26,27,28",2,S24 Ultra,1,1,포르테,"1,,3,,","1,2,3,,,,,,9,,,12,,,15,,,18,,20,,,,,,26,,,,",,",,,,",,"1,2,3,4,5,6,7,8,,",
w229784360090102,2,2,4,3,4,1,4,6,"1,2,,4,5,6,7,8,,,11,,,,,,,,,,,22,,24,25,,,",2,S24,1,1,포르테,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,",2,,4,,6,,,,",
w163074572561420,2,3,5,4,4,20,7,11,"1,2,,4,5,,7,8,9,10,11,12,,14,15,,17,18,19,20,,22,23,24,25,26,27,28",2,2008,1,1,포르테,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,",,,,,6,,,,",
w4270350546383,2,2,4,3,8,13,7,9,"1,2,,4,5,6,,,,10,11,,,,15,,17,,,,,22,23,24,25,26,,",2,2003,1,1,포르테,"1,,,,",",2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,,4,5,6,,8,,",
w6374376844638,2,2,4,3,환경분석,환경,3,7,",2,3,4,5,6,7,,9,10,11,12,,14,,,17,18,19,20,,,23,24,25,,,",2,2003,1,1,포르테,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,",2,,,,,,,,",
w6813741235745,2,2,1,1,6,6,3,3,"1,2,,4,5,6,7,,9,,,12,,,,,17,,,20,,22,23,24,25,26,,",2,2005,1,1,포르테,"1,2,,,","1,2,3,,5,6,,8,9,10,11,12,13,,15,16,17,18,19,20,,,,,25,,27,28,,",,"1,,,,",,"1,2,3,4,5,6,7,8,,",
w201375771700272,2,2,4,3,1,8,3,8,"1,2,3,4,5,6,7,8,9,,11,12,,,15,,17,,19,20,,22,23,24,25,26,27,28",2,2004,1,1,포르테,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,,4,5,6,7,8,,",
w300683767640353,3,2,4,3,14,,1,2,"1,2,,4,5,,7,8,,,11,12,,,15,,,18,19,20,,22,23,24,25,26,27,28",2,2007,1,1,포르테,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,",2,,,,,,,,",
w394296592754363,2,2,4,3,4,2,4,7,"1,2,3,4,5,6,7,8,9,,,12,,,15,,,18,,20,,22,23,24,25,26,,28",2,2005,1,1,포르테,"1,,,,",",,,,,,,8,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,,,,,,,,",
w413041214498054,2,2,4,3,9,21,5,5,"1,2,,4,5,6,,8,9,,11,,,,,,17,18,19,20,,22,,,25,,27,",2,2005,1,1,포르테,"1,2,,,",",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,"1,,,,",,"1,2,,4,5,,,,,",
w11103819197351,2,2,4,4,1,8,6,6,"1,2,3,4,5,,7,8,9,,,12,,,,,17,18,,20,,22,23,24,,,27,",1,1006,1,1,포르테,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,,,,,,,,",
w12149881525578,2,2,2,1,8,13,3,6,"1,2,,4,5,,,,9,10,11,,,,,,,18,,,,,,24,,,,",2,2005,1,1,포르테,"1,,,,",",2,,,,,,,,,,12,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,,4,5,6,,,,",
w132644162167250,2,2,4,3,4,1,5,5,"1,2,,4,5,,,8,,,11,,,,,,17,,19,,,22,23,24,25,,,28",1,1013,1,1,포르테,"1,,,,","1,2,,,,,,,9,,,,,,,,,,,,,,,,,,,,,",,",,,,",,",,,,,,,,,10",
w163381197667818,3,2,1,1,15,,1,1,"1,2,3,4,5,,,8,9,,11,,,,15,,,,,,,,,,25,26,,28",2,2002,1,1,포르테,"1,2,3,,",",2,,,5,,,,9,10,11,,,,15,,17,18,,,,,,,25,,,,,",,"1,,3,,",,"1,2,,,,,,8,,",
w223628294625841,2,2,1,3,8,13,3,3,"1,2,,,5,,,,,,,,,,,,,,,,,22,,,,,,",2,2002,1,1,포르테,"1,,,4,","1,2,,,,,,8,9,,11,12,,14,,,,,,,,,,,,,,,,",,",,,,",,"1,2,,4,,,,,,",
w238324075556798,2,2,3,1,15,,4,6,"1,,3,4,5,,,,,,,,,,,,,,,,,,,24,,,,",2,2005,1,1,포르테,"1,,,,","1,2,3,,5,,,8,9,,,12,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,,4,5,6,,,,",
w69588716323835,2,1,3,3,14,,1,4,"1,2,,4,5,,,,,,11,,,,15,,,,,20,,22,23,,25,,27,",2,2002,1,1,포르테,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,",2,3,,,,,,,",
w94169719033,2,1,3,3,4,1,4,8,"1,2,,4,5,,,8,,,11,12,,14,,,,,19,20,,,,24,25,,,28",1,1005,1,1,포르테,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,,4,,6,,,,",
w403552246776708,2,1,3,3,4,5,,,",2,,4,5,,7,,9,,,,,,,,,,,,,22,23,,25,26,,28",1,1003,1,1,포르테,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,",2,,,,,,,,",
w460247129955054,2,1,3,1,5,13,6,11,"1,2,3,4,5,,7,8,9,10,11,12,,,,,,18,,20,,22,23,24,,,,",3,3001,1,1,포르테,"1,,,,",",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,,4,,,,,,",
w63013038794658,2,1,3,1,7,11,1,8,"1,2,3,4,5,6,,,9,,,,,,15,,17,,,20,,,,24,25,26,,28",2,2008,1,1,포르테,"1,2,,,","1,2,,,5,,,,9,,,,,,15,,,18,,,,,,,,,,,,",,"1,,,,",,"1,2,3,,,,,,,",
w147088682842390,2,1,3,3,6,13,3,3,"1,2,,4,5,6,,,,10,11,12,,,,16,,18,19,20,,22,23,24,25,26,,28",2,2007,1,1,포르테,"1,2,3,,","1,2,3,,,,,8,9,10,11,12,13,14,15,16,17,18,,20,,22,,24,25,,27,28,,",,"1,2,3,,",,",,,,,,,,,10",
w164677081181975,2,1,3,4,1,8,4,7,"1,2,,4,5,,,,9,,,,,,,,,,,20,,22,23,,25,,,",2,2007,1,1,포르테,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,",2,,,,,7,,,",
w203325437619015,2,1,3,3,1,16,6,6,"1,2,3,4,5,6,7,8,9,10,11,12,,,15,,,18,19,20,,22,23,24,25,26,27,28",2,2003,1,1,포르테,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,3,4,5,,,,,",
w291879352796323,2,1,3,4,1,미술관 운영,4,5,",2,,4,5,6,7,8,9,,,,,,,,,18,,,,22,23,24,,,,",2,2007,1,1,포르테,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,",,,,,,,,,10",
