mb_sn,Q1,Q2,Q3,Q4,Q5,Q5_1,Q6,Q7,Q8,Q9_1,Q9_2,Q10,Q11_1,Q11_2,Q12,Q12_1,Q12_1_ETC,Q12_2,Q12_2_ETC,Q13,Q13_ETC
w296140644131377,1,,3,1,13,,1,6,"1,2,3,4,5,6,7,,9,,11,,,,,,,18,,20,,22,23,24,,,27,",1,1006,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,",,,,,,,,9,",청주
w444792241055726,1,,4,1,고등학생,고등학생,1,4,"1,2,3,4,5,6,7,8,,,11,,,,,,,18,,,,22,23,24,25,26,,28",1,1006,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,,,,,,,,",
w6321728403226,1,,3,3,프리랜서,프리랜서,1,2,"1,2,,4,,,,,9,,,,,,,,,,,,,22,23,,25,26,,",1,1006,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,",,,,,,,,,10",
w88386122060516,1,,3,3,무직,무직,1,1,"1,2,3,4,5,6,,8,9,,11,12,,,15,,,,,20,,,23,24,25,26,,",1,1001,1,1,프라이드,"1,2,,,",",2,,,,,,,,,,,,,15,,,,,,,,,,,,,,,",,"1,,,,",,"1,2,,4,,6,,,,",
w130852085084102,1,,2,1,8,21,3,3,"1,2,3,4,5,,,,9,,,,,,,,,,,,,,,24,,,,",2,2007,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,,4,,,,,9,",하이볼
w137684772694176,1,,1,1,4,21,3,3,"1,2,,4,5,6,7,,9,,11,,,14,,,,18,,20,,22,23,24,25,26,,28",2,2001,1,1,프라이드,"1,,,,",",,,,,,,,,,,,,,15,,,,,,,,,,,,,,,",,",,,,",,",2,,,,,,,,",
w167451881265806,1,,1,3,1,8,5,5,",2,,4,5,,,,9,,,,,,,,17,18,,20,,22,,,,,,",2,2003,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,",,3,,,,,,,",
w172210380458495,1,,1,4,1,9,1,1,"1,2,,4,5,,,8,9,10,11,12,,14,,,,18,,20,,,23,24,,,,",1,1010,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,",,,,,,,,,10",
w192189624409110,1,,3,1,15,,3,3,"1,2,3,4,5,,,,9,,11,,,,,,,18,,,,22,23,24,,,,",2,2009,1,1,프라이드,"1,,,,",",,,,,6,,,9,,,,,,,,,18,,,,,,,,,,,,",,",,,,",,"1,2,,4,,6,,,,",
w359043457420,1,,2,3,9,방재,4,6,"1,2,3,4,5,,,8,9,,,,,,,,,18,,20,,,,,,26,,",2,2006,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,,,,,,,,",
